team_number,team_name,city,state_prov,country,robot_image_url
599,The Robodox,Granada Hills,California,USA,https://i.imgur.com/4q9GDjnm.jpg
812,The Midnight Mechanics,La Jolla,California,USA,
867,Absolute Value,Arcadia,California,USA,
968,RAWC (Robotics Alliance Of West Covina),West Covina,California,USA,
1160,Titanium Robotics,San Marino,California,USA,https://i.imgur.com/27VNyyBm.jpg
1197,TorBots,Torrance,California,USA,https://i.imgur.com/aan9LCVm.jpg
1538,The Holy Cows,San Diego,California,USA,https://i.imgur.com/9snwOWTm.jpg
1836,The MilkenKnights,Los Angeles,California,USA,
2102,Team Paradox,Encinitas,California,USA,https://i.imgur.com/Bcc2AP4m.jpg
3473,Team Sprocket,Diamond Bar,California,USA,
3952,Troy Robotics,Fullerton,California,USA,https://i.imgur.com/CUUPdRWm.jpg
4079,Quantum Leap,Cypress,California,USA,
4123,Tribe Robotics,Bellflower,California,USA,https://i.imgur.com/gBdLajRm.jpg
4141,Monarch Robotics,Santa Ana,California,USA,https://i.imgur.com/J5H1bjHm.jpg
4415,EPIC Robotz,Cerritos,California,USA,https://i.imgur.com/B41svn1m.jpg
4470,TiGears,Placentia,California,USA,
4501,Humans,Santa Monica,California,USA,
4999,Momentum,Long Beach,California,USA,
5124,West Torrance Robotics,Torrance,California,USA,
5285,Sea Kings Robotics,Palos Verdes Estates,California,USA,
5669,Techmen,Rosemead,California,USA,
5851,Striking Vikings,Downey,California,USA,
6904,TeraWatts,Los Angeles,California,USA,https://i.imgur.com/kzo1Bowm.jpg
7230,Mythic Mechanix,Irvine,California,USA,https://i.imgur.com/Wc7Dam2m.jpg
7447,Rōnin Robotics,Irvine,California,USA,https://i.imgur.com/eYVnFjhm.jpg
8006,The Phantoms,Los Angeles,California,USA,
8898,Royal Rebel Robotics,Fullerton,California,USA,
9408,Warren Warbots,Downey,California,USA,https://i.imgur.com/97oBUXsm.jpg
9573,MarauderTech,San Diego,California,USA,
